"","stasis GRW","stasis URW","stasis Stasis","stasis OU","Brownian motion GRW","Brownian motion URW","Brownian motion Stasis","Brownian motion OU","weak Brownian drift GRW","weak Brownian drift URW","weak Brownian drift Stasis","weak Brownian drift OU","strong Brownian drift GRW","strong Brownian drift URW","strong Brownian drift Stasis","strong Brownian drift OU"
"5",0,33.3333333333333,0,0,0,33.3333333333333,0,0,0,100,0,0,0,33.3333333333333,0,0
"10",0,0,0,0,0,0,0,0,66.6666666666667,0,0,0,100,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333
"44",0,0,0,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333
"50",0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"146",0,0,0,33.3333333333333,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0
"166",0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"177",0,0,0,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0
"200",0,0,0,33.3333333333333,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0
"205",0,0,0,66.6666666666667,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0
"212",0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"219",0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
